Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Streptococcus suis BM407		strain: BM407	568814	ASM2674v1	GCF_000026745.1	RefSeq	GCF_000026745.1-RS_2025_03_28	Complete Genome	2146229	2170808	2009-07-07	2137	PRJEA32237	SAMEA2272697
Streptococcus parasanguinis ATCC 15912		strain: ATCC 15912	760570	ASM16467v2	GCF_000164675.2	RefSeq	GCF_000164675.2-RS_2024_12_22	Complete Genome	2153652	2153652	2011-06-10	2050	PRJNA48315	SAMN00113608
Streptococcus parauberis NCFD 2020		strain: NCFD 2020	873447	ASM18793v2	GCF_000187935.1	RefSeq	GCF_000187935.1-RS_2024_07_24	Complete Genome	2164480	2164480	2011-03-25	2202	PRJNA51457	SAMN02436555
Streptococcus pseudopneumoniae IS7493		strain: IS7493	1054460	ASM22198v1	GCF_000221985.1	RefSeq	GCF_000221985.1-RS_2025_03_20	Complete Genome	2190731	2195458	2011-07-29	2303	PRJNA69547	SAMN02603728
Streptococcus salivarius JIM8777		strain: JIM8777	347253	ASM25331v1	GCF_000253315.1	RefSeq	GCF_000253315.1-RS_2024_12_11	Complete Genome	2210574	2210574	2011-06-27	2054	PRJEA67171	SAMEA2272047
Streptococcus ilei		strain: I-G2	1156431	ASM47933v1	GCF_000479335.1	RefSeq	GCF_000479335.1-RS_2024_09_03	Complete Genome	1992567	1992567	2013-10-24	1922	PRJNA214027	SAMN02299294
Streptococcus iniae		strain: YSFST01-82	1346	ASM83148v1	GCF_000831485.1	RefSeq	GCF_000831485.1-RS_2024_12_09	Complete Genome	2086959	2086959	2015-02-03	2007	PRJNA271544	SAMN03286870
Streptococcus mitis		strain: KCOM 1350 (= ChDC B183)	28037	ASM128102v1	GCF_001281025.1	RefSeq	GCF_001281025.1-RS_2025_03_16	Complete Genome	1906344	1906344	2015-09-11	1869	PRJNA270122	SAMN03263069
Streptococcus pneumoniae		strain: NCTC7465	1313	NCTC7465	GCF_001457635.1	RefSeq	GCF_001457635.1-RS_2024_10_11	Complete Genome	2110968	2110968	2015-03-22	2189	PRJEB6403	SAMEA2479568
Streptococcus agalactiae		strain: NGBS128	1311	ASM155203v1	GCF_001552035.1	RefSeq	GCF_001552035.1-RS_2025_03_28	Complete Genome	2074179	2079123	2016-02-08	2080	PRJNA293561	SAMN04007140
Streptococcus halotolerans		strain: HTS9	1814128	ASM159803v1	GCF_001598035.1	RefSeq	GCF_001598035.1-RS_2025_03_03	Complete Genome	2182100	2182100	2016-03-28	2056	PRJNA315085	SAMN04562598
Streptococcus marmotae		strain: HTS5	1825069	ASM162356v1	GCF_001623565.1	RefSeq	GCF_001623565.1-RS_2025_03_03	Complete Genome	2309282	2322791	2016-04-19	2287	PRJNA316968	SAMN04592763
Streptococcus pantholopis		strain: TA 26	1811193	ASM164208v1	GCF_001642085.1	RefSeq	GCF_001642085.1-RS_2025_03_05	Complete Genome	2241302	2241302	2016-05-11	2124	PRJNA314407	SAMN04534843
Streptococcus himalayensis		strain: HTS2	1888195	ASM170830v1	GCF_001708305.1	RefSeq	GCF_001708305.1-RS_2024_11_06	Complete Genome	2275471	2275471	2016-08-23	2164	PRJNA338655	SAMN05560386
Streptococcus troglodytae		strain: TKU 31	1111760	ASM235521v1	GCF_002355215.1	RefSeq	GCF_002355215.1-RS_2025_04_01	Complete Genome	2097874	2097874	2015-02-05	2081	PRJDB2913	SAMD00017730
Streptococcus pluranimalium		strain: TH11417	82348	ASM295373v1	GCF_002953735.1	RefSeq	GCF_002953735.1-RS_2024_12_09	Complete Genome	2065522	2065522	2018-02-01	2079	PRJNA427137	SAMN08224108
Streptococcus chenjunshii		strain: Z15	2173853	ASM308635v2	GCF_003086355.1	RefSeq	GCF_003086355.1-RS_2025_04_05	Complete Genome	2443046	2443046	2018-08-27	2320	PRJNA431689	SAMN08990899
Streptococcus sobrinus		strain: SL1	1310	ASM317299v1	GCF_003172995.1	RefSeq	GCF_003172995.1-RS_2025_03_29	Complete Genome	2198571	2198571	2018-05-27	2141	PRJNA471712	SAMN09214222
Streptococcus respiraculi		strain: HTS25	2021971	ASM359552v1	GCF_003595525.1	RefSeq	GCF_003595525.1-RS_2025_03_29	Complete Genome	2041601	2067971	2017-08-08	1998	PRJNA395284	SAMN07374896
Streptococcus ruminantium		strain: GUT-187	1917441	ASM360997v1	GCF_003609975.1	RefSeq	GCF_003609975.1-RS_2024_12_09	Complete Genome	2090539	2090539	2018-04-12	1954	PRJDB6417	SAMD00097183
Streptococcus koreensis		strain: KCOM 2890 (=JS71)	2382163	ASM362713v1	GCF_003627135.1	RefSeq	GCF_003627135.1-RS_2025_03_07	Complete Genome	2009598	2009598	2018-10-07	1938	PRJNA493533	SAMN10135881
Streptococcus gwangjuensis		strain: KCOM 1679 (=ChDC B345)	1433513	ASM362715v1	GCF_003627155.1	RefSeq	GCF_003627155.1-RS_2025_03_16	Complete Genome	1972481	1972481	2018-10-07	1941	PRJNA493538	SAMN10135937
Streptococcus periodonticum		strain: KCOM 2412	2490633	ASM396355v1	GCF_003963555.1	RefSeq	GCF_003963555.1-RS_2024_11_20	Complete Genome	1903815	1903815	2018-12-23	1879	PRJNA506614	SAMN10465145
