Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Nocardia farcinica IFM 10152		strain: IFM 10152	247156	ASM980v1	GCF_000009805.1	RefSeq	GCF_000009805.1-RS_2024_12_11	Complete Genome	6021225	6292344	2004-10-08	6059	PRJNA13117	SAMD00061069
Nocardia mangyaensis		strain: Y48	2213200	ASM188671v1	GCF_001886715.1	RefSeq	GCF_001886715.1-RS_2025_03_28	Complete Genome	7310115	7310115	2016-11-28	6693	PRJNA353759	SAMN06019995
Nocardia brasiliensis		strain: FDAARGOS_352	37326	ASM220912v2	GCF_002209125.2	RefSeq	GCF_002209125.2-RS_2024_04_29	Complete Genome	8935513	8935513	2018-03-08	8111	PRJNA231221	SAMN06173365
Nocardia terpenica		strain: NC_YFY_NT001	455432	ASM256862v1	GCF_002568625.1	RefSeq	GCF_002568625.1-RS_2024_12_16	Complete Genome	8847159	8918539	2017-10-17	8126	PRJNA413720	SAMN07764296
Nocardia cyriacigeorgica		isolate: MDA3349 ancestor, strain: MDA3349	135487	ASM294963v1	GCF_002949635.1	RefSeq	GCF_002949635.1-RS_2024_12_09	Complete Genome	6320090	6462637	2018-02-22	5889	PRJNA432572	SAMN08458266
Nocardia otitidiscaviarum		strain: NEB252	1823	ASM736229v1	GCF_007362295.1	RefSeq	GCF_007362295.1-RS_2024_04_27	Complete Genome	7687583	7687583	2019-07-24	6942	PRJNA554850	SAMN12284987
Nocardia huaxiensis		strain: WCH-YHL-001	2755382	ASM1374487v1	GCF_013744875.1	RefSeq	GCF_013744875.1-RS_2025_03_28	Complete Genome	8339910	8339910	2020-07-27	7661	PRJNA646810	SAMN15566273
Nocardia wallacei		strain: FMUON74	480035	ASM1446695v1	GCF_014466955.1	RefSeq	GCF_014466955.1-RS_2024_04_29	Complete Genome	7832428	7892862	2020-08-22	7143	PRJDB10329	SAMD00238642
Nocardia tengchongensis		strain: CFH S0057	2055889	ASM1836297v1	GCF_018362975.1	RefSeq	GCF_018362975.1-RS_2024_05_06	Complete Genome	8006012	8006012	2021-05-16	7769	PRJNA646810	SAMN19031525
Nocardia iowensis		strain: NRRL 5646	204891	ASM1922276v1	GCF_019222765.1	RefSeq	GCF_019222765.1-RS_2024_05_06	Complete Genome	8948074	8948074	2021-07-15	8280	PRJNA743876	SAMN20062579
Nocardia yamanashiensis		strain: FDAARGOS_1623	209247	ASM2118356v1	GCF_021183565.1	RefSeq	GCF_021183565.1-RS_2024_12_13	Complete Genome	8468804	8468804	2021-12-14	7834	PRJNA231221	SAMN23242892
Nocardia gipuzkoensis		strain: FDAARGOS_1619	2749991	ASM2118364v1	GCF_021183645.1	RefSeq	GCF_021183645.1-RS_2024_12_13	Complete Genome	8118644	8118644	2021-12-14	7442	PRJNA231221	SAMN23242888
Nocardia sputorum		strain: IFM 12276	2984338	ASM2792440v1	GCF_027924405.1	RefSeq	GCF_027924405.1-RS_2024_06_24	Complete Genome	7431165	7431165	2022-11-15	6716	PRJDB14512	SAMD00548745
Nocardia puris		strain: NBC_00392	208602	ASM3605165v1	GCF_036051655.1	RefSeq	GCF_036051655.1-RS_2024_12_09	Complete Genome	8059414	8059414	2024-01-25	7494	PRJNA747871	SAMN30553058
Nocardia salmonicida		strain: NBC_00326	53431	ASM3614245v1	GCF_036142455.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	7364775	7414253	2024-01-25	6940	PRJNA747871	SAMN30553012
Nocardia asteroides		strain: NCTC11293	1824	49867_H01	GCF_900637185.1	RefSeq	GCF_900637185.1-RS_2024_12_11	Complete Genome	6983363	6983363	2018-12-20	6485	PRJEB6403	SAMEA44528668
