Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Bacteroides fragilis NCTC 9343		strain: NCTC 9343	272559	ASM2598v1	GCF_000025985.1	RefSeq	GCF_000025985.1-RS_2024_12_09	Complete Genome	5205140	5241700	2005-03-03	4323	PRJNA46	SAMEA1705957
Bacteroides helcogenes P 36-108		strain: P 36-108	693979	ASM18622v1	GCF_000186225.1	RefSeq	GCF_000186225.1-RS_2024_05_01	Complete Genome	3998906	3998906	2011-01-18	3359	PRJNA41913	SAMN00138952
Bacteroides ovatus		strain: ATCC 8483	28116	ASM131499v1	GCF_001314995.1	RefSeq	GCF_001314995.1-RS_2025_01_08	Complete Genome	6472489	6472489	2015-10-15	4927	PRJNA289334	SAMN03852683
Bacteroides caecimuris		strain: I48	1796613	ASM168872v2	GCF_001688725.2	RefSeq	GCF_001688725.2-RS_2025_01_08	Complete Genome	4839927	4839927	2017-04-05	4074	PRJNA317592	SAMN04621613
Bacteroides zoogleoformans		strain: ATCC 33285	28119	ASM299843v1	GCF_002998435.1	RefSeq	GCF_002998435.1-RS_2024_10_22	Complete Genome	3361794	3361794	2018-03-14	2779	PRJNA282954	SAMN08472433
Bacteroides heparinolyticus		strain: F0111	28113	ASM299853v1	GCF_002998535.1	RefSeq	GCF_002998535.1-RS_2025_01_08	Complete Genome	3608975	3608975	2018-03-14	2864	PRJNA282954	SAMN08439035
Bacteroides luhongzhouii		strain: HF-5141	2650158	ASM919329v2	GCF_009193295.2	RefSeq	GCF_009193295.2-RS_2024_04_27	Complete Genome	5760088	5760088	2020-08-19	4429	PRJNA573513	SAMN12815340
Bacteroides zhangwenhongii		strain: HF-5287	2650157	ASM919332v2	GCF_009193325.2	RefSeq	GCF_009193325.2-RS_2024_10_23	Complete Genome	5244518	5320612	2020-08-10	4276	PRJNA573519	SAMN12815388
Bacteroides faecium		strain: CBA7301	2715212	ASM1211359v1	GCF_012113595.1	RefSeq	GCF_012113595.1-RS_2024_08_13	Complete Genome	6782182	6782182	2020-04-07	5159	PRJNA610130	SAMN14278046
Bacteroides thetaiotaomicron		strain: DSM 2079	818	ASM1413175v1	GCF_014131755.1	RefSeq	GCF_014131755.1-RS_2024_10_23	Complete Genome	6271157	6304193	2020-08-10	4890	PRJNA543750	SAMN11776005
Bacteroides humanifaecis		strain: KGMB07931	2792859	ASM1730967v2	GCF_017309675.2	RefSeq	GCF_017309675.2-RS_2024_10_23	Complete Genome	4240638	4240638	2021-10-18	3495	PRJDB7416	SAMN16744807
Bacteroides xylanisolvens		strain: CL11T00C03	371601	ASM1828913v1	GCF_018289135.1	RefSeq	GCF_018289135.1-RS_2025_01_08	Complete Genome	6425332	6558523	2021-05-06	5401	PRJNA669351	SAMN16451198
Bacteroides cellulosilyticus		strain: CL06T03C01	246787	ASM1829212v1	GCF_018292125.1	RefSeq	GCF_018292125.1-RS_2025_01_08	Complete Genome	7170151	7271073	2021-05-06	5621	PRJNA669351	SAMN16451184
Bacteroides caccae CL03T12C61		strain: CL03T12C61	997873	ASM1829220v1	GCF_018292205.1	RefSeq	GCF_018292205.1-RS_2025_03_29	Complete Genome	5485670	5499725	2021-05-06	4592	PRJNA669351	SAMN16451178
Bacteroides nordii		strain: FDAARGOS_1461	291645	ASM1993066v1	GCF_019930665.1	RefSeq	GCF_019930665.1-RS_2024_10_23	Complete Genome	5678582	5678582	2021-09-12	4359	PRJNA231221	SAMN20888878
Bacteroides faecis		strain: BFG-108	674529	ASM2009150v1	GCF_020091505.1	RefSeq	GCF_020091505.1-RS_2025_03_30	Complete Genome	6282422	6352228	2021-09-22	5060	PRJNA646575	SAMN15547144
Bacteroides eggerthii		strain: DSM 20697	28111	ASM2514656v1	GCF_025146565.1	RefSeq	GCF_025146565.1-RS_2025_01_08	Complete Genome	4206509	4206509	2022-09-12	3469	PRJNA746600	SAMN20222646
Bacteroides salyersiae		strain: CSP6	291644	ASM3117203v1	GCF_031172035.1	RefSeq	GCF_031172035.1-RS_2024_09_06	Complete Genome	5561372	5561372	2023-09-04	4288	PRJNA1007784	SAMN37098068
Bacteroides hominis		strain: Tbg-33	2763023	ASM3304278v2	GCF_033042785.2	RefSeq	GCF_033042785.2-RS_2025_02_03	Complete Genome	5291243	5324286	2025-02-04	4480	PRJNA900398	SAMN37287113
Bacteroides sedimenti		strain: YN3PY1	2136147	ASM4036522v1	GCF_040365225.1	RefSeq	GCF_040365225.1-RS_2024_06_28	Complete Genome	3758787	3758787	2024-06-28	2982	PRJDB15362	SAMD00598639
Bacteroides uniformis		strain: JCM5828	820	ASM4436142v1	GCF_044361425.1	RefSeq	GCF_044361425.1-RS_2025_03_31	Complete Genome	4709701	4709701	2024-11-06	3828	PRJNA954310	SAMN34147825
Bacteroides difficilis		strain: 17-4	2763021	ASM4831981v1	GCF_048319815.1	RefSeq	GCF_048319815.1-RS_2025_03_05	Complete Genome	5603341	5603341	2025-03-06	4402	PRJNA1227197	SAMN46974833
Bacteroides pyogenes		strain: LC-305-2021	310300	ASM4859559v1	GCF_048595595.1	RefSeq	GCF_048595595.1-RS_2025_03_19	Complete Genome	3397546	3397546	2025-03-20	2755	PRJNA832062	SAMN27776050
Bacteroides graminisolvens		isolate: c2c85108-0b76-4fb4-8ed9-98fc9390ecb6	477666	piHetPala1.Bacteroides_graminisolvens_1.1	GCF_963666085.1	RefSeq	GCF_963666085.1-RS_2024_12_09	Complete Genome	3773938	3773938	2023-11-17	3142	PRJEB66947	SAMEA114301993
