Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Corynebacterium efficiens YS-314		strain: YS-314	196164	ASM1130v1	GCF_000011305.1	RefSeq	GCF_000011305.1-RS_2024_12_11	Complete Genome	3147090	3219505	2004-05-11	2958	PRJNA305	SAMD00061103
Corynebacterium glutamicum ATCC 13032		strain: ATCC 13032	196627	ASM1132v1	GCF_000011325.1	RefSeq	GCF_000011325.1-RS_2024_12_11	Complete Genome	3309401	3309401	2004-02-18	3079	PRJNA307	SAMD00061105
Corynebacterium aurimucosum ATCC 700975		strain: DSM 44827; ATCC 700975	548476	ASM2290v1	GCF_000022905.1	RefSeq	GCF_000022905.1-RS_2025_03_28	Complete Genome	2790189	2819226	2009-04-24	2677	PRJNA37279	SAMN02603064
Corynebacterium kroppenstedtii DSM 44385		strain: DSM 44385	645127	ASM2314v1	GCF_000023145.1	RefSeq	GCF_000023145.1-RS_2024_08_12	Complete Genome	2446804	2446804	2009-05-19	2114	PRJNA38011	SAMN02603033
Corynebacterium resistens DSM 45100		strain: DSM 45100	662755	ASM17753v2	GCF_000177535.2	RefSeq	GCF_000177535.2-RS_2024_12_11	Complete Genome	2601311	2601311	2011-06-15	2285	PRJNA39683	SAMN02603065
Corynebacterium ulcerans 809		strain: 809	945711	ASM21564v1	GCF_000215645.1	RefSeq	GCF_000215645.1-RS_2024_10_11	Complete Genome	2502095	2502095	2011-06-02	2268	PRJNA61801	SAMN02603079
Corynebacterium halotolerans YIM 70093 = DSM 44683		strain: YIM 70093 = DSM 44683	1121362	ASM34134v1	GCF_000341345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3135752	3222008	2013-02-20	2962	PRJNA168616	SAMN02603027
Corynebacterium callunae DSM 20147		strain: DSM 20147	1121353	ASM34478v1	GCF_000344785.1	RefSeq	GCF_000344785.1-RS_2024_11_18	Complete Genome	2839551	2928683	2013-03-06	2770	PRJNA190670	SAMN02603058
Corynebacterium terpenotabidum Y-11		strain: Y-11	1200352	ASM41836v1	GCF_000418365.1	RefSeq	GCF_000418365.1-RS_2024_11_18	Complete Genome	2751233	2751233	2013-07-05	2473	PRJNA168617	SAMN02603028
Corynebacterium maris DSM 45190		strain: DSM 45190	1224163	ASM44264v1	GCF_000442645.1	RefSeq	GCF_000442645.1-RS_2024_11_18	Complete Genome	2787574	2833547	2013-08-01	2679	PRJNA172964	SAMN02603057
Corynebacterium casei LMG S-19264		strain: LMG S-19264	1285583	ASM55078v1	GCF_000550785.1	RefSeq	GCF_000550785.1-RS_2024_11_18	Complete Genome	3113488	3132213	2014-02-05	2884	PRJNA186910	SAMN03081454
Corynebacterium vitaeruminis DSM 20294		strain: DSM 20294	1224164	ASM55080v1	GCF_000550805.1	RefSeq	GCF_000550805.1-RS_2024_11_18	Complete Genome	2931780	2931780	2014-02-05	2688	PRJNA172966	SAMN03081455
Corynebacterium argentoratense DSM 44202		strain: DSM 44202	1348662	ASM59055v1	GCF_000590555.1	RefSeq	GCF_000590555.1-RS_2024_12_09	Complete Genome	2031902	2031902	2013-08-27	1937	PRJNA209048	SAMN02603032
Corynebacterium glyciniphilum AJ 3170		strain: AJ 3170	1404245	ASM62667v1	GCF_000626675.1	RefSeq	GCF_000626675.1-RS_2024_12_02	Complete Genome	3509786	3568218	2014-04-11	3355	PRJNA221205	SAMN03081498
Corynebacterium atypicum		strain: R2070	191610	ASM73294v1	GCF_000732945.1	RefSeq	GCF_000732945.1-RS_2024_12_09	Complete Genome	2311380	2359448	2014-07-24	2175	PRJNA255205	SAMN02911287
Corynebacterium ureicelerivorans		strain: IMMIB RIV-2301	401472	ASM74731v1	GCF_000747315.1	RefSeq	GCF_000747315.1-RS_2024_12_11	Complete Genome	2279990	2328278	2014-09-03	2364	PRJNA257688	SAMN02953970
Corynebacterium doosanense CAU 212 = DSM 45436		strain: CAU 212(T)	558173	ASM76705v1	GCF_000767055.1	RefSeq	GCF_000767055.1-RS_2024_05_02	Complete Genome	2671798	2698995	2014-10-16	2665	PRJNA219342	SAMN02356458
Corynebacterium ramonii FRC0011		strain: FRC0011	1006579	ASM76768v1	GCF_000767685.1	RefSeq	GCF_000767685.1-RS_2024_10_11	Complete Genome	2442826	2442826	2014-10-22	2199	PRJNA263376	SAMN03099770
Corynebacterium singulare		strain: IBS B52218	161899	ASM83357v1	GCF_000833575.1	RefSeq	GCF_000833575.1-RS_2024_12_09	Complete Genome	2830519	2830519	2015-02-06	2649	PRJNA246651	SAMN03177398
