Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Burkholderia thailandensis E264		strain: E264; ATCC 700388	271848	ASM1236v1	GCF_000012365.1	RefSeq	GCF_000012365.1-RS_2024_12_09	Complete Genome	3809201	6723972	2005-12-15	5916	PRJNA10774	SAMN02604021
Burkholderia lata		strain: 383	482957	ASM1294v1	GCF_000012945.1	RefSeq	GCF_000012945.1-RS_2024_04_22	Complete Genome	3587082	8676277	2005-10-20	7875	PRJNA10695	SAMN02598262
Burkholderia oklahomensis C6786		strain: C6786	441162	ASM95936v1	GCF_000959365.1	RefSeq	GCF_000959365.1-RS_2025_04_07	Complete Genome	4132035	7135022	2015-03-20	6403	PRJNA238548	SAMN03075637
Burkholderia vietnamiensis LMG 10929		strain: LMG 10929	1449978	ASM95944v1	GCF_000959445.1	RefSeq	GCF_000959445.1-RS_2025_04_07	Complete Genome	2262093	6930496	2015-03-20	6286	PRJNA235223	SAMN03107475
Burkholderia ambifaria AMMD		strain: AMMD	339670	ASM95954v1	GCF_000959545.1	RefSeq	GCF_000959545.1-RS_2025_04_07	Complete Genome	2646970	7528578	2015-03-20	6767	PRJNA240122	SAMN03140296
Burkholderia glumae LMG 2196 = ATCC 33617		strain: ATCC 33617	1176492	ASM96099v1	GCF_000960995.1	RefSeq	GCF_000960995.1-RS_2025_04_07	Complete Genome	3659771	6820727	2015-03-24	6077	PRJNA259679	SAMN03012983
Burkholderia pyrrocinia		strain: DSM 10685	60550	ASM102866v1	GCF_001028665.1	RefSeq	GCF_001028665.1-RS_2025_03_27	Complete Genome	3214754	7961346	2015-06-12	7216	PRJNA283474	SAMN03651233
Burkholderia plantarii		strain: ATCC 43733	41899	ASM141180v1	GCF_001411805.1	RefSeq	GCF_001411805.1-RS_2025_03_28	Complete Genome	4140040	8081051	2015-10-23	7073	PRJNA237833	SAMN04210536
Burkholderia humptydooensis		strain: MSMB43	430531	ASM151374v1	GCF_001513745.1	RefSeq	GCF_001513745.1-RS_2024_09_23	Complete Genome	4069152	7287809	2016-01-12	6630	PRJNA279182	SAMN04196784
Burkholderia mayonis		strain: BDU6	1385591	ASM152374v2	GCF_001523745.2	RefSeq	GCF_001523745.2-RS_2025_03_05	Complete Genome	3838800	6590914	2016-09-02	5906	PRJNA279182	SAMN03449221
