Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Mycobacterium kansasii ATCC 12478		strain: ATCC 12478	557599	ASM15789v2	GCF_000157895.3	RefSeq	GCF_000157895.3-RS_2025_03_29	Complete Genome	6432277	6577228	2013-11-01	5815	PRJNA30907	SAMN02603596
Mycobacterium tuberculosis H37Rv		strain: H37Rv	83332	ASM19595v2	GCF_000195955.2	RefSeq	Annotation submitted by NCBI RefSeq	Complete Genome	4411532	4411532	2013-02-01	4008	PRJNA224	SAMEA3138326
Mycobacterium canettii CIPT 140010059		strain: CIPT 140010059	1048245	ASM25337v1	GCF_000253375.1	RefSeq	GCF_000253375.1-RS_2024_12_16	Complete Genome	4482059	4482059	2011-07-14	4206	PRJEA68135	SAMEA2272660
Mycobacterium paraintracellulare		strain: MOTT64	1138383	ASM27682v1	GCF_000276825.1	RefSeq	GCF_000276825.1-RS_2024_12_11	Complete Genome	5501090	5501090	2012-02-29	5182	PRJNA82155	SAMN02603185
Mycobacterium haemophilum DSM 44634		strain: ATCC 29548	1202450	ASM34043v3	GCF_000340435.2	RefSeq	GCF_000340435.2-RS_2025_03_03	Complete Genome	4235765	4235765	2015-10-30	4054	PRJNA171821	SAMN01918491
Mycobacterium marinum E11		strain: E11	1131442	E11	GCF_000723425.2	RefSeq	GCF_000723425.2-RS_2025_03_28	Complete Genome	6336293	6450522	2015-07-02	5425	PRJEB5070	SAMEA3139029
Mycobacterium lepromatosis		strain: FJ924	480418	ASM97526v2	GCF_000975265.2	RefSeq	GCF_000975265.2-RS_2024_05_13	Complete Genome	3271694	3271694	2022-02-07	3115	PRJNA281005	SAMN03481272
Mycobacterium adipatum		strain: YC-RL4	1682113	ASM164457v1	GCF_001644575.1	RefSeq	GCF_001644575.1-RS_2025_03_05	Complete Genome	5801417	6053985	2016-05-16	5890	PRJNA320914	SAMN04959083
Mycobacterium dioxanotrophicus		strain: PH-06	482462	ASM215783v1	GCF_002157835.1	RefSeq	GCF_002157835.1-RS_2024_12_13	Complete Genome	7595921	8080416	2017-05-25	7880	PRJNA357161	SAMN06134492
Mycobacterium marseillense		strain: FLAC0026	701042	ASM228571v1	GCF_002285715.1	RefSeq	GCF_002285715.1-RS_2024_04_22	Complete Genome	5266037	5285642	2017-09-05	4933	PRJNA315990	SAMN07528776
Mycobacterium ulcerans subsp. shinshuense		strain: ATCC 33728	1124626	ASM235577v1	GCF_002355775.1	RefSeq	GCF_002355775.1-RS_2025_03_30	Complete Genome	5899681	6066298	2016-08-04	5306	PRJDB5034	SAMD00056531
Mycobacterium shigaense		strain: JCM 32072	722731	ASM235631v1	GCF_002356315.1	RefSeq	GCF_002356315.1-RS_2024_12_13	Complete Genome	5232660	5232660	2017-06-15	4965	PRJDB5818	SAMD00081394
Mycobacterium leprae		strain: MRHRU-235-G	1769	ASM325377v1	GCF_003253775.1	RefSeq	GCF_003253775.1-RS_2025_03_30	Complete Genome	3187112	3187112	2018-06-18	3051	PRJNA470766	SAMN09104579
Mycobacterium pseudoshottsii JCM 15466		strain: JCM 15466	1136880	ASM358474v1	GCF_003584745.1	RefSeq	GCF_003584745.1-RS_2025_03_28	Complete Genome	6061597	6061597	2017-10-25	5364	PRJDB6390	SAMD00096819
Mycobacterium paragordonae		strain: 49061	1389713	ASM361443v1	GCF_003614435.1	RefSeq	GCF_003614435.1-RS_2024_04_22	Complete Genome	6730319	7224251	2018-10-04	6516	PRJNA427220	SAMN08222636
Mycobacterium novum		strain: JCM 6391	2492438	ASM1072650v1	GCF_010726505.1	RefSeq	GCF_010726505.1-RS_2024_12_16	Complete Genome	4458926	4458926	2020-02-06	4236	PRJDB7717	SAMD00153168
Mycobacterium gallinarum		strain: JCM 6399	39689	ASM1072676v1	GCF_010726765.1	RefSeq	GCF_010726765.1-RS_2024_06_22	Complete Genome	6090007	6301681	2020-02-06	6218	PRJDB7717	SAMD00153170
Mycobacterium simiae		strain: JCM 12377	1784	ASM1072760v1	GCF_010727605.1	RefSeq	GCF_010727605.1-RS_2024_12_13	Complete Genome	5788994	5788994	2020-02-06	5451	PRJDB7717	SAMD00153175
Mycobacterium cookii		strain: JCM 12404	1775	ASM1072794v1	GCF_010727945.1	RefSeq	GCF_010727945.1-RS_2024_12_16	Complete Genome	5318517	5318517	2020-02-06	5037	PRJDB7717	SAMD00153177
Mycobacterium shottsii		strain: JCM 12657	133549	ASM1072852v1	GCF_010728525.1	RefSeq	GCF_010728525.1-RS_2024_12_16	Complete Genome	5973149	5973149	2020-02-06	5662	PRJDB7717	SAMD00153180
Mycobacterium branderi		strain: JCM 12687	43348	ASM1072872v1	GCF_010728725.1	RefSeq	GCF_010728725.1-RS_2024_12_13	Complete Genome	5115366	5979623	2020-02-06	5872	PRJDB7717	SAMD00153181
