Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292		strain: ATCC 15305	342451	ASM1012v1	GCF_000010125.1	RefSeq	GCF_000010125.1-RS_2024_12_11	Complete Genome	2516575	2577899	2005-08-12	2545	PRJNA15596	SAMD00061076
Staphylococcus aureus subsp. aureus NCTC 8325		strain: NCTC 8325	93061	ASM1342v1	GCF_000013425.1	RefSeq	Annotation submitted by NCBI RefSeq	Complete Genome	2821361	2821361	2006-02-13	2872	PRJNA237	SAMN02604235
Staphylococcus argenteus		strain: MSHR1132	985002	ASM23692v1	GCF_000236925.1	RefSeq	GCF_000236925.1-RS_2024_12_11	Complete Genome	2762785	2787638	2011-11-10	2692	PRJEA62885	SAMEA2272597
Staphylococcus xylosus		strain: SMQ-121	1288	ASM70941v1	GCF_000709415.1	RefSeq	GCF_000709415.1-RS_2024_04_21	Complete Genome	2757557	2757557	2014-06-17	2590	PRJNA241308	SAMN02850631
Staphylococcus hyicus		strain: ATCC 11249	1284	ASM81608v1	GCF_000816085.1	RefSeq	GCF_000816085.1-RS_2024_12_09	Complete Genome	2472129	2472129	2015-01-07	2399	PRJNA252807	SAMN02863110
Staphylococcus lugdunensis		strain: FDAARGOS_141	28035	ASM155877v1	GCF_001558775.1	RefSeq	GCF_001558775.1-RS_2025_03_03	Complete Genome	2571829	2571829	2016-02-11	2466	PRJNA231221	SAMN03996285
Staphylococcus lutrae		strain: ATCC 700373	155085	ASM210133v1	GCF_002101335.1	RefSeq	GCF_002101335.1-RS_2024_04_27	Complete Genome	2533115	2533115	2017-04-20	2361	PRJNA379140	SAMN06602281
Staphylococcus pettenkoferi		strain: FDAARGOS_288	170573	ASM220880v2	GCF_002208805.2	RefSeq	GCF_002208805.2-RS_2025_04_01	Complete Genome	2502360	2502360	2018-03-02	2394	PRJNA231221	SAMN06173301
Staphylococcus nepalensis		strain: JS11	214473	ASM244293v1	GCF_002442935.1	RefSeq	GCF_002442935.1-RS_2025_03_05	Complete Genome	2941886	3007747	2017-10-04	2920	PRJNA344825	SAMN05846264
Staphylococcus felis		strain: ATCC 49168	46127	ASM301291v1	GCF_003012915.1	RefSeq	GCF_003012915.1-RS_2024_04_27	Complete Genome	2479423	2479423	2018-03-21	2372	PRJNA438350	SAMN08712993
Staphylococcus kloosii		strain: ATCC 43959	29384	ASM301925v1	GCF_003019255.1	RefSeq	GCF_003019255.1-RS_2024_12_09	Complete Genome	2630191	2639038	2018-03-26	2656	PRJNA438350	SAMN08713000
Staphylococcus warneri		strain: 22.1	1292	ASM357172v1	GCF_003571725.1	RefSeq	GCF_003571725.1-RS_2025_03_28	Complete Genome	2515743	2541629	2018-09-16	2523	PRJNA489795	SAMN09989479
Staphylococcus debuckii		strain: SDB 2975	2044912	ASM371873v1	GCF_003718735.1	RefSeq	GCF_003718735.1-RS_2025_03_30	Complete Genome	2691850	2691850	2018-11-08	2618	PRJNA406952	SAMN07634888
Staphylococcus hominis		strain: FDAARGOS_575	1290	ASM381250v1	GCF_003812505.1	RefSeq	GCF_003812505.1-RS_2025_04_01	Complete Genome	2220494	2257431	2018-11-21	2262	PRJNA231221	SAMN10163251
Staphylococcus caprae		strain: JMUB898	29380	ASM396662v1	GCF_003966625.1	RefSeq	GCF_003966625.1-RS_2024_12_13	Complete Genome	2598513	2598513	2018-08-31	2522	PRJDB6943	SAMD00115875
