Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Clostridium tetani E88		strain: Massachusetts substr. E88	212717	ASM762v1	GCF_000007625.1	RefSeq	GCF_000007625.1-RS_2025_04_01	Complete Genome	2799251	2873333	2003-02-05	2865	PRJNA81	SAMN02603289
Clostridium kluyveri NBRC 12016		strain: NBRC 12016	583346	ASM1026v1	GCF_000010265.1	RefSeq	GCF_000010265.1-RS_2024_04_10	Complete Genome	3896121	3955303	2009-01-06	3920	PRJDA33271	SAMD00060959
Clostridium botulinum A str. ATCC 3502		strain: ATCC 3502	413999	ASM6358v1	GCF_000063585.1	RefSeq	GCF_000063585.1-RS_2024_04_11	Complete Genome	3886916	3903260	2007-05-24	3699	PRJNA193	SAMEA1705919
Clostridium ljungdahlii DSM 13528		strain: DSM 13528	748727	ASM14368v1	GCF_000143685.1	RefSeq	GCF_000143685.1-RS_2024_04_11	Complete Genome	4630065	4630065	2010-07-12	4337	PRJNA13492	SAMN02603159
Clostridium cellulovorans 743B		strain: 743B	573061	ASM14527v1	GCF_000145275.1	RefSeq	GCF_000145275.1-RS_2024_04_10	Complete Genome	5262222	5262222	2010-08-11	4510	PRJNA32609	SAMN00002614
Clostridium acetobutylicum DSM 1731		strain: DSM 1731	991791	ASM21885v1	GCF_000218855.1	RefSeq	GCF_000218855.1-RS_2024_04_11	Complete Genome	3942462	4145581	2011-06-17	3988	PRJNA63241	SAMN02603396
Clostridium saccharoperbutylacetonicum N1-4(HMT)		strain: N1-4(HMT)	931276	ASM34088v1	GCF_000340885.1	RefSeq	GCF_000340885.1-RS_2024_04_11	Complete Genome	6530257	6666445	2013-02-19	5997	PRJNA60605	SAMN02603265
Clostridium saccharobutylicum DSM 13864		strain: DSM 13864	1345695	ASM47399v1	GCF_000473995.1	RefSeq	GCF_000473995.1-RS_2024_04_11	Complete Genome	5107814	5107814	2013-10-18	4538	PRJNA217481	SAMN02603278
Clostridium bornimense		strain: M2/40	1216932	M2/40	GCF_000577895.1	RefSeq	GCF_000577895.1-RS_2024_04_11	Complete Genome	2917864	3617025	2014-02-11	3384	PRJEB4995	SAMEA3138942
Clostridium scatologenes		strain: ATCC 25775	1548	ASM96837v1	GCF_000968375.1	RefSeq	GCF_000968375.1-RS_2024_04_12	Complete Genome	5749410	5749410	2015-04-02	5308	PRJNA265889	SAMN02721231
Clostridium sporogenes		strain: NCIMB 10696	1509	ASM97370v1	GCF_000973705.1	RefSeq	GCF_000973705.1-RS_2025_03_28	Complete Genome	4141984	4141984	2015-04-20	3884	PRJNA257694	SAMN02953999
Clostridium carboxidivorans P7		strain: P7	536227	ASM103862v1	GCF_001038625.1	RefSeq	GCF_001038625.1-RS_2024_04_12	Complete Genome	5732880	5752782	2015-06-24	5287	PRJNA285141	SAMN03740584
Clostridium aceticum		strain: DSM 1496	84022	ASM104271v1	GCF_001042715.1	RefSeq	GCF_001042715.1-RS_2024_04_12	Complete Genome	4201318	4207037	2015-06-12	3981	PRJNA263904	SAMN03768360
Clostridium autoethanogenum DSM 10061		strain: DSM 10061	1341692	ASM148472v1	GCF_001484725.1	RefSeq	GCF_001484725.1-RS_2025_03_28	Complete Genome	4352446	4352446	2016-01-04	4049	PRJNA291963	SAMN03956958
Clostridium tyrobutyricum		strain: KCTC 5387	1519	ASM164265v1	GCF_001642655.1	RefSeq	GCF_001642655.1-RS_2025_03_05	Complete Genome	3071606	3134437	2016-05-12	3174	PRJNA308866	SAMN04415495
