Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Actinomyces sp. oral taxon 414		strain: F0588	712122	ASM127884v1	GCF_001278845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3836419	3836419	2015-09-04	3161	PRJNA282954	SAMN04009745
Actinomyces radicidentis		strain: CCUG 36733	111015	ASM155356v1	GCF_001553565.1	RefSeq	GCF_001553565.1-RS_2025_03_03	Complete Genome	3051613	3051613	2016-02-09	2630	PRJNA282954	SAMN04435863
Actinomyces oris		strain: T14V	544580	ASM155393v1	GCF_001553935.1	RefSeq	GCF_001553935.1-RS_2025_03_23	Complete Genome	3042917	3042917	2016-02-09	2537	PRJNA282954	SAMN04435864
Actinomyces gaoshouyii		strain: pika_114	1960083	ASM207691v1	GCF_002076915.1	RefSeq	GCF_002076915.1-RS_2025_03_28	Complete Genome	2359360	2359360	2017-04-03	2024	PRJNA380331	SAMN06640690
Actinomyces sp. Chiba101		strain: Chiba101	1851395	ASM235619v1	GCF_002356195.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2877864	2877864	2017-02-01	2372	PRJDB5147	SAMD00059583
Actinomyces sp. oral taxon 897		strain: F0631	2081702	ASM299923v1	GCF_002999235.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3244017	3249416	2018-03-14	2523	PRJNA282954	SAMN08439033
Actinomyces sp. Z16		strain: Z16	2079536	ASM311176v1	GCF_003111765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3761642	3761642	2018-05-10	3161	PRJNA431689	SAMN08398282
Actinomyces wuliandei		strain: 299	2057743	ASM401095v1	GCF_004010955.1	RefSeq	GCF_004010955.1-RS_2024_04_14	Complete Genome	3107761	3107761	2019-01-10	2606	PRJNA420632	SAMN08117043
Actinomyces qiguomingii		strain: actinomyces sp. 410	2057800	ASM410202v1	GCF_004102025.1	RefSeq	GCF_004102025.1-RS_2024_04_27	Complete Genome	3988549	3988549	2019-01-22	3355	PRJNA420781	SAMN08120347
Actinomyces procaprae		strain: dk561	2560010	ASM479866v1	GCF_004798665.1	RefSeq	GCF_004798665.1-RS_2025_03_28	Complete Genome	3600355	3600355	2019-04-17	3038	PRJNA528995	SAMN11253059
Actinomyces sp. oral taxon 171 str. F0337		strain: F0337	706439	ASM569655v1	GCF_005696555.1	RefSeq	GCF_005696555.1-RS_2025_01_28	Complete Genome	3097489	3097489	2019-05-23	2633	PRJNA282954	SAMN11483330
Actinomyces sp. 432		strain: 432	2057798	ASM993087v1	GCF_009930875.1	RefSeq	GCF_009930875.1-RS_2024_03_17	Complete Genome	3141809	3141809	2020-01-27	2736	PRJNA420784	SAMN08120350
Actinomyces sp. zg-332		strain: zg-332	2708340	ASM1175194v2	GCF_011751945.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1540829	1540829	2020-12-01	1237	PRJNA605918	SAMN14081641
Actinomyces marmotae		strain: zg-325	2737173	ASM1317729v1	GCF_013177295.1	RefSeq	GCF_013177295.1-RS_2025_03_28	Complete Genome	2419502	2419502	2020-05-27	2007	PRJNA633455	SAMN14943953
Actinomyces faecalis		strain: ZJ34	2722820	ASM1318498v2	GCF_013184985.2	RefSeq	GCF_013184985.2-RS_2024_04_27	Complete Genome	2698355	2701426	2020-11-05	2311	PRJNA616214	SAMN14484698
Actinomyces sp. oral taxon 169		strain: F0496	712116	ASM1339471v1	GCF_013394715.1	RefSeq	GCF_013394715.1-RS_2024_11_06	Complete Genome	3040651	3040651	2020-07-08	2546	PRJNA282954	SAMN15358582
Actinomyces respiraculi		strain: ZJ750	2744574	ASM1459599v2	GCF_014595995.2	RefSeq	GCF_014595995.2-RS_2024_04_27	Complete Genome	2912106	2912106	2020-11-23	2455	PRJNA639453	SAMN15237431
Actinomyces trachealis		strain: zg-993	2763540	ASM1571147v2	GCF_015711475.1	RefSeq	GCF_015711475.1-RS_2024_04_27	Complete Genome	2526250	2526250	2020-12-01	2206	PRJNA657461	SAMN15830197
